IBM@2020-10-22,115.7600
IBM@2020-10-21,115.0600
IBM@2020-10-29,108.9100
IBM@2022-11-14,144.2000
IBM@2022-11-15,144.3400
IBM@2022-11-16,144.5200
IBM@2022-11-10,141.2300
IBM@2022-11-11,143.1700
IBM@2020-10-30,111.6600
IBM@2022-11-28,146.1800
IBM@2022-11-29,146.4900
IBM@2019-08-30,135.5300
IBM@2022-11-25,148.3700
IBM@2022-11-21,146.6800
IBM@2022-11-22,149.1000
IBM@2022-11-23,148.7500
IBM@2022-11-07,138.3400
IBM@2022-11-08,140.0400
IBM@2022-11-09,137.3900
IBM@2022-11-02,136.8300
IBM@2022-11-03,134.4700
IBM@2022-11-04,136.9600
IBM@2022-11-01,138.2000
IBM@2019-08-09,136.1300
IBM@2019-08-08,140.1000
NVDA@2011-05-31,20.0400
IBM@2019-08-07,139.1100
IBM@2019-08-06,140.7300
NVDA@2019-09-09,180.5000
IBM@2007-01-31,99.1500
IBM@2007-01-30,99.3700
NVDA@2019-09-10,183.1800
IBM@2019-08-01,150.3200
NVDA@2019-09-16,180.2100
NVDA@2019-09-17,181.0700
NVDA@2019-09-18,179.9800
NVDA@2019-09-11,184.3300
IBM@2019-08-05,140.7600
NVDA@2019-09-12,184.2700
NVDA@2019-09-13,181.9400
IBM@2019-08-02,147.2500
NVDA@2019-10-08,177.2300
NVDA@2019-09-19,176.9400
NVDA@2019-10-09,180.7100
NVDA@2019-10-07,184.3300
NVDA@2019-10-04,181.9700
NVDA@2019-10-02,173.0400
IBM@2016-06-01,152.5100
NVDA@2019-10-03,181.3100
IBM@2016-06-02,153.5000
IBM@2016-06-03,152.8900
NVDA@2019-10-01,174.0000
IBM@2016-06-06,152.7300
AAPL@2006-03-09,63.9300
IBM@2016-06-07,153.3300
IBM@2016-06-08,154.0000
NVDA@2019-09-20,172.6900
AAPL@2006-03-07,66.3100
IBM@2016-06-09,153.4200
AAPL@2006-03-08,65.6600
AAPL@2006-03-06,65.4800
AAPL@2006-03-03,67.7200
NVDA@2019-09-26,177.3400
AAPL@2006-03-01,69.1000
NVDA@2019-09-27,171.7600
AAPL@2006-03-02,69.6100
NVDA@2019-09-23,174.8400
NVDA@2019-09-24,172.5300
NVDA@2019-09-25,178.2300
IBM@2019-08-29,134.8800
NVDA@2011-05-10,19.7800
IBM@2019-08-28,132.7600
NVDA@2011-05-11,19.8700
NVDA@2011-05-12,20.5000
NVDA@2019-10-17,194.2900
NVDA@2011-05-13,18.2600
NVDA@2019-10-18,190.4900
NVDA@2019-10-15,196.3700
IBM@2020-10-06,121.9700
IBM@2016-06-10,152.3700
NVDA@2019-10-16,194.2100
NVDA@2011-05-16,17.7010
IBM@2020-10-05,122.0100
NVDA@2011-05-17,17.6300
AAPL@2016-10-31,113.5400
NVDA@2019-10-14,186.5300
NVDA@2011-05-18,18.0400
IBM@2016-06-13,151.2800
NVDA@2019-10-11,185.9900
NVDA@2011-05-19,17.7800
AAPL@2001-12-31,21.9000
IBM@2020-10-02,120.5700
IBM@2016-06-14,151.0600
IBM@2020-10-01,121.0900
IBM@2016-06-15,150.6800
IBM@2016-06-16,151.0600
NVDA@2019-10-10,183.0300
IBM@2016-06-17,151.9900
NVDA@2019-09-30,174.0700
IBM@2020-10-09,127.7900
IBM@2020-10-08,131.4900
IBM@2020-10-07,124.0700
IBM@2019-08-23,129.5700
IBM@2019-08-22,134.3200
IBM@2019-08-21,134.2500
IBM@2019-08-20,133.0000
IBM@2019-08-27,131.1700
IBM@2019-08-26,129.9900
IBM@2019-08-19,135.0400
NVDA@2011-05-20,18.0900
AAPL@2001-12-28,22.4300
NVDA@2011-05-23,18.0700
NVDA@2019-10-28,206.7900
NVDA@2011-05-24,18.1410
NVDA@2019-10-29,202.9200
NVDA@2011-05-25,18.3600
IBM@2016-06-20,153.6100
NVDA@2011-05-26,18.8200
